item_id,data_points,mean,std,min,max
1,236,57.31779479980469,9.930940628051758,37.0,100.0
7,236,46.45762634277344,11.099431037902832,26.0,100.0
48,236,37.22457504272461,17.073259353637695,0.0,100.0
74,236,0.4237288236618042,6.495640277862549,0.0,100.0
75,236,0.0,0.0,0.0,0.0
122,236,52.555084228515625,11.361226081848145,29.0,100.0
47,236,27.525423049926758,12.449363708496094,8.0,100.0
8,236,54.36440658569336,11.644570350646973,31.0,100.0
76,236,27.576271057128906,17.251827239990234,5.0,100.0
46,236,46.444915771484375,13.45492935180664,0.0,100.0
77,236,63.915252685546875,8.302619934082031,44.0,100.0
121,236,54.97457504272461,12.80754566192627,28.0,100.0
9,236,52.50423812866211,11.642448425292969,30.0,100.0
45,236,41.915252685546875,10.99389362335205,24.0,100.0
78,236,45.576271057128906,19.325448989868164,0.0,100.0
120,236,66.40254211425781,10.560310363769531,45.0,100.0
44,236,18.016948699951172,23.382770538330078,0.0,100.0
79,236,61.29237365722656,12.310741424560547,34.0,100.0
10,236,42.84321975708008,20.297908782958984,0.0,100.0
43,236,53.673728942871094,8.623941421508789,35.0,100.0
80,236,43.3516960144043,10.09820556640625,24.0,100.0
81,236,1.1355931758880615,10.04432201385498,0.0,100.0
119,236,67.6440658569336,11.798466682434082,38.0,100.0
42,236,58.86864471435547,15.400435447692871,28.0,100.0
82,236,38.444915771484375,9.961852073669434,25.0,100.0
11,236,44.690677642822266,15.202645301818848,23.0,100.0
41,236,62.809322357177734,13.473832130432129,24.0,100.0
118,236,33.5,22.136613845825195,7.0,100.0
123,236,1.1949152946472168,8.729705810546875,0.0,100.0
73,236,63.11440658569336,14.09560489654541,38.0,100.0
49,236,16.576271057128906,10.145054817199707,0.0,100.0
124,236,45.00847625732422,9.016459465026855,27.0,100.0
129,236,29.80084800720215,13.653031349182129,13.0,100.0
63,236,55.449153900146484,14.827880859375,26.0,99.0
2,236,26.966102600097656,19.01201057434082,0.0,100.0
57,236,47.49152374267578,14.678616523742676,0.0,93.0
64,236,47.91101837158203,10.481446266174316,29.0,100.0
128,236,13.902542114257812,27.566770553588867,0.0,100.0
56,236,32.919490814208984,20.503149032592773,0.0,100.0
65,236,25.580509185791016,9.291300773620605,14.0,100.0
3,236,29.50423812866211,20.152910232543945,5.0,100.0
55,236,38.70762634277344,19.78109359741211,0.0,100.0
66,236,39.529659271240234,12.208081245422363,20.0,100.0
127,236,25.042373657226562,16.543672561645508,7.0,100.0
54,236,12.483051300048828,11.064321517944336,6.0,100.0
83,236,49.63559341430664,11.564971923828125,29.0,100.0
67,236,31.122880935668945,9.26800537109375,17.0,100.0
53,236,28.86440658569336,9.63082504272461,14.0,100.0
68,236,61.15678024291992,14.08316707611084,31.0,94.0
126,236,34.15254211425781,11.869078636169434,14.0,100.0
69,236,17.4110164642334,11.242536544799805,8.0,100.0
5,236,21.919490814208984,28.436477661132812,0.0,100.0
52,236,42.216102600097656,10.853020668029785,24.0,100.0
70,236,56.279659271240234,12.117982864379883,30.0,100.0
125,236,32.1483039855957,10.675055503845215,13.0,100.0
51,236,33.51271057128906,8.842061042785645,22.0,100.0
71,236,2.6906778812408447,15.424559593200684,0.0,100.0
6,236,29.47881317138672,18.24095916748047,3.0,100.0
50,236,16.974576950073242,22.68593978881836,0.0,100.0
72,236,4.8983049392700195,12.568382263183594,0.0,100.0
4,236,35.45762634277344,21.07538604736328,0.0,100.0
62,236,54.919490814208984,8.459141731262207,39.0,100.0
117,236,31.487287521362305,10.595602035522461,14.0,100.0
84,236,51.13559341430664,16.3825626373291,0.0,100.0
30,236,51.39406967163086,13.768723487854004,31.0,100.0
96,236,51.783897399902344,12.065144538879395,31.0,100.0
110,236,12.529661178588867,19.31000328063965,0.0,100.0
18,236,33.50423812866211,23.069074630737305,0.0,100.0
29,236,53.8220329284668,10.990852355957031,33.0,100.0
97,236,37.63135528564453,12.894113540649414,12.0,100.0
28,236,44.23728942871094,11.408202171325684,21.0,100.0
98,236,13.177966117858887,16.841047286987305,0.0,100.0
109,236,19.07203483581543,18.667221069335938,3.0,100.0
19,236,63.35593032836914,12.784408569335938,38.0,100.0
27,236,57.440677642822266,14.849838256835938,24.0,100.0
99,236,35.91101837158203,9.912996292114258,21.0,100.0
100,236,49.99152374267578,14.964078903198242,23.0,100.0
108,236,47.050846099853516,14.549359321594238,19.0,100.0
26,236,14.677966117858887,25.654279708862305,0.0,100.0
101,236,9.927966117858887,7.220432281494141,0.0,100.0
20,236,33.3516960144043,29.452333450317383,3.0,100.0
25,236,30.758474349975586,27.362695693969727,0.0,100.0
102,236,39.33898162841797,9.08968448638916,23.0,100.0
107,236,23.597457885742188,15.525369644165039,0.0,72.0
24,236,44.28813552856445,17.136837005615234,18.0,100.0
103,236,50.52118682861328,14.047874450683594,25.0,100.0
21,236,61.49576187133789,11.416051864624023,38.0,100.0
23,236,27.538135528564453,25.132081985473633,0.0,100.0
104,236,31.898305892944336,17.994062423706055,11.0,100.0
106,236,44.22457504272461,16.412466049194336,0.0,100.0
22,236,48.73305130004883,16.42034912109375,22.0,100.0
95,236,18.644067764282227,12.93597412109375,5.0,100.0
17,236,37.783897399902344,12.628656387329102,17.0,100.0
31,236,21.50423812866211,23.833904266357422,0.0,100.0
111,236,16.156780242919922,18.916093826293945,0.0,100.0
12,236,67.2796630859375,10.731220245361328,44.0,100.0
39,236,23.843219757080078,19.255552291870117,5.0,100.0
85,236,51.694915771484375,11.549824714660645,24.0,100.0
116,236,13.868643760681152,16.403663635253906,0.0,100.0
38,236,74.56779479980469,9.384425163269043,51.0,100.0
86,236,13.440677642822266,11.517888069152832,5.0,100.0
13,236,26.13559341430664,16.7571964263916,0.0,100.0
37,236,54.29237365722656,13.49400806427002,32.0,100.0
87,236,42.02118682861328,16.180248260498047,17.0,100.0
115,236,18.101694107055664,17.924222946166992,0.0,100.0
88,236,39.690677642822266,26.271432876586914,0.0,100.0
14,236,47.98305130004883,13.27127742767334,22.0,100.0
36,236,42.18220520019531,16.76168441772461,22.0,100.0
40,236,55.95762634277344,10.683738708496094,37.0,94.0
89,236,23.779661178588867,29.70965003967285,0.0,100.0
35,236,21.516948699951172,26.028419494628906,0.0,100.0
90,236,30.144067764282227,9.870582580566406,19.0,100.0
15,236,54.915252685546875,11.614628791809082,34.0,100.0
34,236,63.33898162841797,12.239641189575195,39.0,100.0
91,236,26.04660987854004,18.695653915405273,8.0,100.0
113,236,5.03389835357666,6.537937164306641,1.0,100.0
33,236,53.72457504272461,12.842774391174316,26.0,100.0
92,236,45.173728942871094,24.65317726135254,0.0,100.0
16,236,8.610169410705566,20.332839965820312,0.0,100.0
32,236,36.690677642822266,10.128082275390625,19.0,100.0
93,236,31.190677642822266,11.745251655578613,15.0,100.0
112,236,33.75847625732422,12.207464218139648,16.0,100.0
94,236,26.49576187133789,12.48745059967041,9.0,100.0
114,236,23.6610164642334,20.742046356201172,0.0,100.0
59,236,0.4237288236618042,6.495640277862549,0.0,100.0
105,236,19.915254592895508,24.30284881591797,0.0,100.0
60,236,15.855932235717773,11.429055213928223,7.0,100.0
61,236,37.220340728759766,12.264483451843262,14.0,100.0
